[10:21:31.1911111] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Spawning/Use LC Spawn System"
[10:21:34.5458335] [Info   : LethalMin] Config file generated for Pikmin Type: White Pikmin at BepInEx/BepInEx\config\Pikmin\White Pikmin.cfg
[10:21:34.5478367] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin/White Pikmin"
[10:21:34.5478367] [Message: LethalMin] Registered Pikmin Type: White Pikmin with ID: 7
[10:21:34.5478367] [Message: LethalMin] Registering Pikmin Type: Winged Pikmin
[10:21:34.5478367] [Info   : LethalMin] Generating config file for Pikmin Type: Winged Pikmin
[10:21:34.5488350] [Debug  : LethalMin] PikminPrimaryColor set to RGBA(1.000, 0.000, 1.000, 1.000)
[10:21:34.5488350] [Debug  : LethalMin] PikminSecondaryColor set to RGBA(0.502, 0.000, 0.502, 1.000)
[10:21:34.5488350] [Debug  : LethalMin] Skipping unsupported field type: PikminIcon (UnityEngine.Sprite)
[10:21:34.5488350] [Debug  : LethalMin] Skipping unsupported field type: AnimatedPikminGhostTexture (UnityEngine.Texture2D[])
[10:21:34.5488350] [Debug  : LethalMin] AnimatedPikminGhostFrameHold set to 2
[10:21:34.5488350] [Debug  : LethalMin] OverrideGhostTextureTileing set to (1.00, 1.50)
[10:21:34.5503383] [Debug  : LethalMin] OverrideGhostTextureOffset set to (0.00, -0.20)
[10:21:34.5503383] [Debug  : LethalMin] SetGhostColor set to True
[10:21:34.5503383] [Debug  : LethalMin] DisableRegistration set to False
[10:21:34.5503383] [Debug  : LethalMin] SetColorOnSprout set to True
[10:21:34.5503383] [Debug  : LethalMin] UseOverrideSproutGlowColor set to False
[10:21:34.5503383] [Debug  : LethalMin] OverrideSproutGlowColor set to RGBA(1.000, 1.000, 1.000, 1.000)
[10:21:34.5503383] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[10:21:34.5513438] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[10:21:34.5513438] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
[10:21:34.5513438] [Debug  : LethalMin] GrowSpeedMultiplier set to 1
[10:21:34.5513438] [Debug  : LethalMin] DefaultSpeed set to 1
[10:21:34.5513438] [Debug  : LethalMin] RunningSpeedMultiplier set to 1.5
[10:21:34.5513438] [Debug  : LethalMin] CarryStrength set to 3
[10:21:34.5513438] [Debug  : LethalMin] ThrowForce set to (15.00, 15.00, 15.00)
[10:21:34.5513438] [Debug  : LethalMin] HazardsResistantTo set to System.Collections.Generic.List`1[PikminHazard]
[10:21:34.5513438] [Debug  : LethalMin] ItemDetectionRange set to 5
[10:21:34.5513438] [Debug  : LethalMin] CanLatchOnToObjects set to True
[10:21:34.5513438] [Debug  : LethalMin] CanJumpOntoObjects set to True
[10:21:34.5523480] [Debug  : LethalMin] CanCarryObjects set to True
[10:21:34.5523480] [Debug  : LethalMin] AttackStrength set to 0.5
[10:21:34.5523480] [Debug  : LethalMin] AttackRate set to 0.5
[10:21:34.5523480] [Debug  : LethalMin] AttackDistance set to 0.5
[10:21:34.5523480] [Debug  : LethalMin] JumpLatchOnRange set to 5
[10:21:34.5523480] [Debug  : LethalMin] DamageDeltUponDeath set to 0
[10:21:34.5523480] [Debug  : LethalMin] DeathDamageRange set to 0
[10:21:34.5523480] [Debug  : LethalMin] DamageDeltUpLanding set to 0
[10:21:34.5523480] [Debug  : LethalMin] ShakeEndurance set to 0.75
[10:21:34.5523480] [Debug  : LethalMin] SpawnsIndoors set to False
[10:21:34.5523480] [Debug  : LethalMin] SpawnsOutdoors set to True
[10:21:34.5523480] [Debug  : LethalMin] SpawnsAsSprout set to True
[10:21:34.5523480] [Debug  : LethalMin] UsesPikminContainer set to False
[10:21:34.5533472] [Debug  : LethalMin] SpawnAfterDay set to 3
[10:21:34.5533472] [Debug  : LethalMin] MoonSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[10:21:34.5533472] [Debug  : LethalMin] TagSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[10:21:34.5533472] [Debug  : LethalMin] WeatherSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[10:21:34.5533472] [Debug  : LethalMin] InstaEnterOnion set to False
[10:21:34.5533472] [Debug  : LethalMin] UsePresetFormatting set to True
[10:21:34.5533472] [Debug  : LethalMin] HelpfulLevel set to 50%
[10:21:34.5533472] [Debug  : LethalMin] ScientificName set to Pikminidae volarosa
[10:21:34.5533472] [Debug  : LethalMin] piklopediaName set to 
[10:21:34.5533472] [Debug  : LethalMin] MaxGroupSpawnSize set to 3
[10:21:34.5533472] [Info   : LethalMin] Config file generated for Pikmin Type: Winged Pikmin at BepInEx/BepInEx\config\Pikmin\Winged Pikmin.cfg
[10:21:34.5553481] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin/Winged Pikmin"
[10:21:34.5563505] [Info   : LethalMin] Added Custom Script: WingedPikminAI to PikminAI!
[10:21:34.5563505] [Info   : LethalMin] Added event at time (3.15) for wg_Gattu
[10:21:34.5563505] [Info   : LethalMin] Added event at time (4.75) for wg_Akubi
[10:21:34.5563505] [Info   : LethalMin] Added event at time (3.15) for wg_Iraira
[10:21:34.5563505] [Message: LethalMin] Registered Pikmin Type: Winged Pikmin with ID: 8
[10:21:34.5563505] [Message: LethalMin] Registering Pikmin Type: Yellow Pikmin
[10:21:34.5563505] [Info   : LethalMin] Generating config file for Pikmin Type: Yellow Pikmin
[10:21:34.5573482] [Debug  : LethalMin] PikminPrimaryColor set to RGBA(1.000, 1.000, 0.000, 1.000)
[10:21:34.5573482] [Debug  : LethalMin] PikminSecondaryColor set to RGBA(0.502, 0.502, 0.000, 1.000)
[10:21:34.5573482] [Debug  : LethalMin] Skipping unsupported field type: PikminIcon (UnityEngine.Sprite)
[10:21:34.5573482] [Debug  : LethalMin] Skipping unsupported field type: AnimatedPikminGhostTexture (UnityEngine.Texture2D[])
[10:21:34.5573482] [Debug  : LethalMin] AnimatedPikminGhostFrameHold set to 2
[10:21:34.5573482] [Debug  : LethalMin] OverrideGhostTextureTileing set to (1.00, 1.00)
[10:21:34.5573482] [Debug  : LethalMin] OverrideGhostTextureOffset set to (0.00, 0.00)
[10:21:34.5583474] [Debug  : LethalMin] SetGhostColor set to True
[10:21:34.5583474] [Debug  : LethalMin] DisableRegistration set to False
[10:21:34.5583474] [Debug  : LethalMin] SetColorOnSprout set to True
[10:21:34.5583474] [Debug  : LethalMin] UseOverrideSproutGlowColor set to False
[10:21:34.5583474] [Debug  : LethalMin] OverrideSproutGlowColor set to RGBA(1.000, 1.000, 1.000, 1.000)
[10:21:34.5583474] [Debug  : LethalMin] growSpeeds set to System.Collections.Generic.List`1[System.Single]
[10:21:34.5583474] [Debug  : LethalMin] growAttacks set to System.Collections.Generic.List`1[System.Single]
[10:21:34.5583474] [Debug  : LethalMin] growCarryStrengths set to System.Collections.Generic.List`1[System.Int32]
[10:21:34.5583474] [Debug  : LethalMin] GrowSpeedMultiplier set to 1
[10:21:34.5583474] [Debug  : LethalMin] DefaultSpeed set to 1
[10:21:34.5593489] [Debug  : LethalMin] RunningSpeedMultiplier set to 1.5
[10:21:34.5593489] [Debug  : LethalMin] CarryStrength set to 3
[10:21:34.5593489] [Debug  : LethalMin] ThrowForce set to (22.00, 22.00, 22.00)
[10:21:34.5593489] [Debug  : LethalMin] HazardsResistantTo set to System.Collections.Generic.List`1[PikminHazard]
[10:21:34.5593489] [Debug  : LethalMin] ItemDetectionRange set to 5
[10:21:34.5593489] [Debug  : LethalMin] CanLatchOnToObjects set to True
[10:21:34.5593489] [Debug  : LethalMin] CanJumpOntoObjects set to True
[10:21:34.5593489] [Debug  : LethalMin] CanCarryObjects set to True
[10:21:34.5593489] [Debug  : LethalMin] AttackStrength set to 1
[10:21:34.5603487] [Debug  : LethalMin] AttackRate set to 0.5
[10:21:34.5603487] [Debug  : LethalMin] AttackDistance set to 0.5
[10:21:34.5603487] [Debug  : LethalMin] JumpLatchOnRange set to 5
[10:21:34.5603487] [Debug  : LethalMin] DamageDeltUponDeath set to 0
[10:21:34.5603487] [Debug  : LethalMin] DeathDamageRange set to 0
[10:21:34.5603487] [Debug  : LethalMin] DamageDeltUpLanding set to 0
[10:21:34.5603487] [Debug  : LethalMin] ShakeEndurance set to 0.75
[10:21:34.5603487] [Debug  : LethalMin] SpawnsIndoors set to False
[10:21:34.5614967] [Debug  : LethalMin] SpawnsOutdoors set to True
[10:21:34.5614967] [Debug  : LethalMin] SpawnsAsSprout set to True
[10:21:34.5614967] [Debug  : LethalMin] UsesPikminContainer set to False
[10:21:34.5614967] [Debug  : LethalMin] SpawnAfterDay set to -1
[10:21:34.5614967] [Debug  : LethalMin] MoonSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[10:21:34.5614967] [Debug  : LethalMin] TagSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[10:21:34.5614967] [Debug  : LethalMin] WeatherSpawnMultipliers set to System.Collections.Generic.List`1[System.String]
[10:21:34.5614967] [Debug  : LethalMin] InstaEnterOnion set to False
[10:21:34.5624969] [Debug  : LethalMin] UsePresetFormatting set to True
[10:21:34.5624969] [Debug  : LethalMin] HelpfulLevel set to 50%
[10:21:34.5624969] [Debug  : LethalMin] ScientificName set to Pikminidae auribus
[10:21:34.5624969] [Debug  : LethalMin] piklopediaName set to 
[10:21:34.5624969] [Debug  : LethalMin] MaxGroupSpawnSize set to 3
[10:21:34.5624969] [Info   : LethalMin] Config file generated for Pikmin Type: Yellow Pikmin at BepInEx/BepInEx\config\Pikmin\Yellow Pikmin.cfg
[10:21:34.5634971] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalMin/Pikmin/Yellow Pikmin"
[10:21:34.5634971] [Message: LethalMin] Registered Pikmin Type: Yellow Pikmin with ID: 9
[10:21:34.5634971] [Info   : LethalMin] LethalMin: Loading Default Moon Spawn Configs
[10:21:34.5650006] [Debug  : LethalMin] Moon spawn config loaded in memory (no file) for: Embrion
[10:21:34.5650006] [Debug  : LethalMin] Moon spawn config loaded in memory (no file) for: Adamance
[10:21:34.5650006] [Debug  : LethalMin] Moon spawn config loaded in memory (no file) for: Vow
[10:21:34.5650006] [Info   : LethalMin] LethalMin: Loading Default Weather Spawn Configs
[10:21:34.5660068] [Debug  : LethalMin] Weather spawn config loaded in memory (no file) for: Rainy
[10:21:34.5660068] [Debug  : LethalMin] Weather spawn config loaded in memory (no file) for: Eclipsed
[10:21:34.5660068] [Info   : LethalMin] LethalMin: Registering Onion Types
[10:21:34.5680064] [Info   : LethalMin] Registering 9 Onion Types
[10:21:34.5680064] [Message: LethalMin] Registering Onion Type: Blue Onion
[10:21:34.5690066] [Message: LethalMin] Registered Onion Type: Blue Onion with ID: 0
[10:21:34.5690066] [Message: LethalMin] Registering Onion Type: Ice Onion
[10:21:34.5690066] [Message: LethalMin] Registered Onion Type: Ice Onion with ID: 1
[10:21:34.5690066] [Message: LethalMin] Registering Onion Type: Pikmin Container
[10:21:34.5690066] [Message: LethalMin] Registered Onion Type: Pikmin Container with ID: 2
[10:21:34.5690066] [Message: LethalMin] Registering Onion Type: Purple Onion
[10:21:34.5690066] [Message: LethalMin] Registered Onion Type: Purple Onion with ID: 3
[10:21:34.5690066] [Message: LethalMin] Registering Onion Type: Red Onion
[10:21:34.5690066] [Message: LethalMin] Registered Onion Type: Red Onion with ID: 4
[10:21:34.5690066] [Message: LethalMin] Registering Onion Type: Rock Onion
[10:21:34.5690066] [Message: LethalMin] Registered Onion Type: Rock Onion with ID: 5
[10:21:34.5690066] [Message: LethalMin] Registering Onion Type: White Onion
[10:21:34.5690066] [Message: LethalMin] Registered Onion Type: White Onion with ID: 6
[10:21:34.5690066] [Message: LethalMin] Registering Onion Type: Winged Onion
[10:21:34.5690066] [Message: LethalMin] Registered Onion Type: Winged Onion with ID: 7
[10:21:34.5690066] [Message: LethalMin] Registering Onion Type: Yellow Onion
[10:21:34.5690066] [Message: LethalMin] Registered Onion Type: Yellow Onion with ID: 8
[10:21:34.5690066] [Info   : LethalMin] LethalMin: Registering Onion Fuse Rules
[10:21:34.5705106] [Info   : LethalMin] Registering 1 Fuse Rules
[10:21:34.5705106] [Message: LethalMin] Registering Fuse Rules: RBY_FuseRules
[10:21:34.5705106] [Message: LethalMin] Registered Fuse Rules: RBY_FuseRules with ID: 0
[10:21:34.5705106] [Info   : LethalMin] LethalMin: Registering Custom Piklopedia Entries
[10:21:34.5738420] [Info   : LethalMin] NoteBoxz.LethalMin v1.1.0(NIGHTLY) has loaded!
[10:21:34.5738420] [Info   :   BepInEx] Loading [EnemyHealthBars 1.4.0]
[10:21:34.5758421] [Debug  :EnemyHealthBars] Patching...
[10:21:34.5923781] [Debug  :EnemyHealthBars] Finished patching!
[10:21:34.6028865] [Info   :EnemyHealthBars] NoteBoxz.EnemyHealthBars v1.4.0 has loaded!
[10:21:34.6028865] [Info   :   BepInEx] Loading [Black Mesa Interior 3.4.1]
[10:21:34.6194011] [Debug  :Spawn Cycle Fixes] Transpiler (Radiation warning): Add Old Bird values after spawning
[10:21:34.6729760] [Info   :   BepInEx] Loading [PSCPLibrary 0.1.1]
[10:21:34.6749754] [Info   :PSCPLibrary] ProjectSCP.PSCPLibrary v0.1.1 has loaded!
[10:21:34.6814832] [Info   :   BepInEx] Loading [PSCPLibrary.IT 1.0.0]
[10:21:34.6844834] [Info   :PSCPLibrary.IT] ProjectSCP.PSCPLibrary.IT v1.0.0 has loaded!
[10:21:34.6916736] [Info   :   BepInEx] Loading [NestFix 1.2.0]
[10:21:34.6976734] [Info   :   BepInEx] Loading [Mirage.Core 1.0.4]
[10:21:34.6986720] [Info   :   BepInEx] Loading [Mirage 1.29.1]
[10:21:34.7011848] [Info   :   BepInEx] Loading [JKConfig 1.0.0]
[10:21:34.7031845] [Info   :rectorado.JKConfig] This thing has loaded supposedly!
[10:21:34.7091880] [Info   :   BepInEx] Loading [KenjiLib 0.7.0]
[10:21:34.7122280] [Warning:  KenjiLib] KenjiLib: Config loaded. Logging level set to [User]
[10:21:34.7207318] [Info   :  KenjiLib] [Info] KenjiLib v0.7.0 loaded successfully. :3
[10:21:34.7207318] [Info   :   BepInEx] Loading [FOV Adjust 1.1.1]
[10:21:34.7227370] [Info   :Rozebud.FovAdjust] Starting.
[10:21:34.7332533] [Info   :Rozebud.FovAdjust] Configs DONE!
[10:21:34.8177572] [Debug  :Jetpack Fixes] Transpiler: Replace "Gravity" with "Inertia"
[10:21:34.8177572] [Debug  :Jetpack Fixes] Transpiler: Replace "Gravity" with "Inertia"
[10:21:34.8177572] [Debug  :Jetpack Fixes] Transpiler: Replace "Gravity" with "Inertia"
[10:21:34.8682547] [Info   :Rozebud.FovAdjust] All FOV Adjust patches have loaded successfully.
[10:21:34.8682547] [Info   :   BepInEx] Loading [FixCameraResolutions 1.5.3]
[10:21:34.8717903] [Info   :FixCameraResolutions] Start loading plugin...
[10:21:34.8783034] [Info   :FixCameraResolutions] Resolution Config Loading...
[10:21:34.8793037] [Info   :FixCameraResolutions] Resolution Config Loaded!
[10:21:34.8793037] [Info   :FixCameraResolutions] HUD Config Loading...
[10:21:34.8793037] [Info   :FixCameraResolutions] HUD Config Loaded!
[10:21:34.8793037] [Info   :FixCameraResolutions] HDRP Config Loading...
[10:21:34.8813522] [Info   :FixCameraResolutions] HDRP Config Loaded!
[10:21:34.8813522] [Info   :FixCameraResolutions] Visor Config Loading...
[10:21:34.8813522] [Info   :FixCameraResolutions] Visor Config Loaded!
[10:21:34.8813522] [Info   :FixCameraResolutions] Lethal Config Registration
[10:21:34.8853571] [Debug  :ainavt.lc.lethalconfig] Registered config "FixCameraResolutions/Resolutions/Enable"
[10:21:34.8853571] [Debug  :ainavt.lc.lethalconfig] Registered config "FixCameraResolutions/Resolutions/Auto Size"
[10:21:34.8853571] [Debug  :ainavt.lc.lethalconfig] Registered config "FixCameraResolutions/Resolutions/Check Resolution Every Frame"
[10:21:34.8853571] [Debug  :ainavt.lc.lethalconfig] Registered config "FixCameraResolutions/Resolutions/Width"
[10:21:34.8853571] [Debug  :ainavt.lc.lethalconfig] Registered config "FixCameraResolutions/Resolutions/Height"
[10:21:34.8853571] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalConfig.ConfigItems.GenericButtonConfigItem"
[10:21:34.8863569] [Debug  :ainavt.lc.lethalconfig] Registered config "FixCameraResolutions/HUD/Fixed Aspect Ratio"
[10:21:34.8863569] [Debug  :ainavt.lc.lethalconfig] Registered config "FixCameraResolutions/HUD/Check Resolution Every Frame"
[10:21:34.8863569] [Debug  :ainavt.lc.lethalconfig] Registered config "LethalConfig.ConfigItems.GenericButtonConfigItem"
[10:21:34.8863569] [Debug  :ainavt.lc.lethalconfig] Registered config "FixCameraResolutions/HDRP/Antialiasing"
[10:21:34.8873578] [Debug  :ainavt.lc.lethalconfig] Registered config "FixCameraResolutions/HDRP/Bloom"
[10:21:34.8883579] [Debug  :ainavt.lc.lethalconfig] Registered config "FixCameraResolutions/HDRP/Fog Rendering Method"
[10:21:34.8883579] [Debug  :ainavt.lc.lethalconfig] Registered config "FixCameraResolutions/HDRP/Shadow"
[10:21:34.8883579] [Debug  :ainavt.lc.lethalconfig] Registered config "FixCameraResolutions/HDRP/Post Processing"
[10:21:34.8883579] [Debug  :ainavt.lc.lethalconfig] Registered config "FixCameraResolutions/HDRP/Vignette"
[10:21:34.8883579] [Debug  :ainavt.lc.lethalconfig] Registered config "FixCameraResolutions/Visors/Disable"
[10:21:34.8893576] [Info   :FixCameraResolutions] Resolution Patch...
[10:21:34.8954208] [Info   :FixCameraResolutions] Resolution Patched!
[10:21:34.8974208] [Info   :FixCameraResolutions] Plugin FixCameraResolutions is loaded!
[10:21:34.8974208] [Info   :   BepInEx] Loading [TestAccountCore 1.18.0]
[10:21:34.9114020] [Debug  :GeneralImprovements] Patching StartOfRound.ResetShipFurniture to save furniture state.
[10:21:34.9143999] [Info   :TestAccountCore] TestAccount666.TestAccountCore v1.18.0 has loaded!
[10:21:34.9203996] [Info   :   BepInEx] Loading [ShipWindows 2.11.1]
[10:21:34.9241199] [Info   :ShipWindows] Loading ShipWindow AssetBundle...
[10:21:35.2031234] [Info   :TestAccountCore] Registering unlockable Shutter...
[10:21:35.2031234] [Info   :TestAccountCore] Fully registered unlockable Shutter!
[10:21:35.2371537] [Debug  :ShipWindows] Registering window Door Window from TestAccount666.ShipWindows!
[10:21:35.2371537] [Debug  :ShipWindows] Registering window Floor Window from TestAccount666.ShipWindows!
[10:21:35.2371537] [Debug  :ShipWindows] Registering window Left Window from TestAccount666.ShipWindows!
[10:21:35.2371537] [Debug  :ShipWindows] Registering window Right Window from TestAccount666.ShipWindows!
[10:21:35.2371537] [Debug  :ShipWindows] Registering window Roof Window from TestAccount666.ShipWindows!
[10:21:35.2526810] [Debug  :ShipWindows] Searching for start: ldfld bool StartOfRound::hangarDoorsClosed
[10:21:35.2526810] [Debug  :ShipWindows] Searching for end: ret NULL
[10:21:35.2526810] [Debug  :ShipWindows] Found start at: 32
[10:21:35.2526810] [Debug  :ShipWindows] Found end at: 60
[10:21:35.2757273] [Info   :ShipWindows] Loading Wesley voice lines...
[10:21:35.3863423] [Info   :ShipWindows] Loaded line 'ShutterClose'!
[10:21:35.4953942] [Info   :ShipWindows] Loaded line 'ShutterOpen'!
[10:21:35.6055063] [Info   :ShipWindows] Loaded line 'SellCounter1'!
[10:21:35.6055063] [Info   :ShipWindows] Loaded successfully!
[10:21:35.6055063] [Info   :   BepInEx] Loading [ScienceBirdTweaks 4.7.5]
[10:21:35.6205190] [Info   :ScienceBirdTweaks] Finished populating scrap keeping blacklists.
[10:21:36.0320946] [Debug  :ScienceBirdTweaks] Patching...
[10:21:36.0350976] [Debug  :ScienceBirdTweaks] Found shaosil!
[10:21:36.0380974] [Debug  :ScienceBirdTweaks] Found batby!
[10:21:36.0390976] [Debug  :ScienceBirdTweaks] Found test1!
[10:21:36.0406000] [Debug  :ScienceBirdTweaks] Found jacob!
[10:21:36.0516238] [Debug  :Matty's Fixes] RoundManager.SpawnScrapInLevel patched
[10:21:36.1063107] [Debug  :   Coroner] Injecting patch into Turret.Update...
[10:21:36.1063107] [Debug  :   Coroner] Done.
[10:21:36.1586830] [Debug  :GeneralImprovements] Patching AudioReverbTrigger.ChangeAudioReverbForPlayer to optimize code.
[10:21:36.2156833] [Warning:KawaiiBone.Remnants] Despawm remnant items on party wipe feature disabled, remnant items will now despawn on party wipe like scrap on the ship.
[10:21:36.2482389] [Debug  :GeneralImprovements] Patching StartOfRound.ResetShipFurniture to save furniture state.
[10:21:36.2733555] [Debug  :Buttery Fixes] Transpiler (StartOfRound.SyncShipUnlockablesClientRpc): Cache Cruiser script
[10:21:36.2874703] [Debug  :Buttery Fixes] Transpiler (ClipboardItem.Update): Cache Cruiser script
[10:21:36.2929835] [Debug  :GeneralImprovements] Patching Terminal.LoadNewNodeIfAffordable to set dropship item limit to 24.
[10:21:36.2929835] [Debug  :Buttery Fixes] Transpiler (Terminal.LoadNewNodeIfAffordable): Cache Cruiser script
[10:21:36.2929835] [Debug  :Buttery Fixes] Transpiler (Survival kit): Stun grenade -> shovel
[10:21:36.2929835] [Debug  :Buttery Fixes] Transpiler (Survival kit): Boomboxes -> walkie-talkies
[10:21:36.2939823] [Info   :darmuhsTerminalStuff] LoadNewNodeIfAffordable Transpiler Initialized
[10:21:36.3024993] [Debug  :GeneralImprovements] Patching PlayerControllerB.SetHoverTipAndCurrentInteractionTrigger to remove grab notification when not needed.
[10:21:36.3402840] [Debug  :Enemy Sound Fixes] Transpiler (Tulip snake): Remove wingflap from chuckle pool
[10:21:36.4033302] [Debug  :Buttery Fixes] Transpiler (StartOfRound.SyncShipUnlockablesClientRpc): Cache Cruiser script
[10:21:36.4154165] [Debug  :GeneralImprovements] Patching StartOfRound.ResetShipFurniture to save furniture state.
[10:21:36.4224717] [Debug  :GeneralImprovements] Patching StartOfRound.ResetShipFurniture to save furniture state.
[10:21:36.4264713] [Warning:KawaiiBone.Remnants] Despawm remnant items on party wipe feature disabled, remnant items will now despawn on party wipe like scrap on the ship.
[10:21:36.4732935] [Debug  :Buttery Fixes] Transpiler (ManualCameraRenderer.SetLineToExitFromRadarTarget): Cache elevator script
[10:21:36.5143739] [Warning:KawaiiBone.Remnants] Despawm remnant items on party wipe feature disabled, remnant items will now despawn on party wipe like scrap on the ship.
[10:21:36.5821444] [Warning:KawaiiBone.Remnants] Despawm remnant items on party wipe feature disabled, remnant items will now despawn on party wipe like scrap on the ship.
[10:21:36.6477363] [Debug  :GeneralImprovements] Patching HudManager.UpdateScanNodes to hide subtext when needed.
[10:21:36.6627627] [Debug  :Matty's Fixes] RoundManager.SpawnScrapInLevel patched
[10:21:36.7108199] [Info   : LethalMin] ShotgunItemPatch: Increased enemyColliders array size from 10 to 127
[10:21:36.7273454] [Debug  :Matty's Fixes] GrabbableObject.Start patched!
[10:21:36.8172843] [Debug  :Jetpack Fixes] Transpiler: Replace "Gravity" with "Inertia"
[10:21:36.8172843] [Debug  :Jetpack Fixes] Transpiler: Replace "Gravity" with "Inertia"
[10:21:36.8172843] [Debug  :Jetpack Fixes] Transpiler: Replace "Gravity" with "Inertia"
[10:21:36.8935669] [Debug  :GeneralImprovements] Patching PlayerControllerB.SetHoverTipAndCurrentInteractionTrigger to remove grab notification when not needed.
[10:21:36.9133542] [Debug  :ScienceBirdTweaks] Finished patching!
[10:21:36.9133542] [Info   :ScienceBirdTweaks] ScienceBird.ScienceBirdTweaks v4.7.5 has loaded!
[10:21:36.9133542] [Info   :   BepInEx] Loading [voxx.TerraMesh 1.1.7]
[10:21:36.9173533] [Info   :voxx.TerraMesh] Plugin is loaded!
[10:21:36.9235893] [Info   :   BepInEx] Loading [UniversalRadar 1.2.4]
[10:21:36.9346068] [Debug  :UniversalRadar] Found config version: 1.2.4 > 1.2.4
[10:21:36.9568799] [Debug  :UniversalRadar] Patching...
[10:21:36.9784061] [Debug  :Buttery Fixes] Transpiler (Radar): Hide arrow when players are out of bounds
[10:21:36.9856648] [Warning:KawaiiBone.Remnants] Despawm remnant items on party wipe feature disabled, remnant items will now despawn on party wipe like scrap on the ship.
[10:21:36.9886658] [Debug  :UniversalRadar] Finished patching!
[10:21:36.9886658] [Info   :UniversalRadar] ScienceBird.UniversalRadar v1.2.4 has loaded!
[10:21:36.9886658] [Info   :   BepInEx] Loading [Monster Plushies 1.2.9]
[10:21:36.9946778] [Debug  :     CSync] Successfully registered config instance InstanceKey { Guid = scin.monsterplushies, AssemblyQualifiedName = MonsterPlushies.MyConfig, MonsterPlushies, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null }.
[10:21:37.8793268] [Info   :Monster Plushies] Loaded Monster Plushies
[10:21:37.8860442] [Info   :   BepInEx] Loading [Scopophobia 1.3.4]
[10:21:38.1361835] [Debug  :ainavt.lc.lethalconfig] Registered config "Scopophobia/General/Enable the Shy Guy"
[10:21:38.1361835] [Debug  :ainavt.lc.lethalconfig] Registered config "Scopophobia/General/Enable Extended Logging"
[10:21:38.1361835] [Debug  :ainavt.lc.lethalconfig] Registered config "Scopophobia/Appearance/Glowing Eyes"
[10:21:38.1361835] [Debug  :ainavt.lc.lethalconfig] Registered config "Scopophobia/Appearance/Bloody Texture"
[10:21:38.1371845] [Debug  :ainavt.lc.lethalconfig] Registered config "Scopophobia/Appearance/Bloody Death"
[10:21:38.1381846] [Debug  :ainavt.lc.lethalconfig] Registered config "Scopophobia/Appearance/Sound Pack (Curated, SCPCB, SCPCBOld, SecretLab)"
[10:21:38.1386886] [Debug  :ainavt.lc.lethalconfig] Registered config "Scopophobia/General/Speed Multiplier (Docile)"
[10:21:38.1386886] [Debug  :ainavt.lc.lethalconfig] Registered config "Scopophobia/General/Speed Multiplier (Rage)"
[10:21:38.1386886] [Debug  :ainavt.lc.lethalconfig] Registered config "Scopophobia/General/Enemy Volume"
[10:21:38.1386886] [Debug  :ainavt.lc.lethalconfig] Registered config "Scopophobia/Trigger Settings/Trigger Time"
[10:21:38.1386886] [Debug  :ainavt.lc.lethalconfig] Registered config "Scopophobia/Trigger Settings/Face Trigger Range"
[10:21:38.1386886] [Debug  :ainavt.lc.lethalconfig] Registered config "Scopophobia/Trigger Settings/Face Trigger Grace Period"
[10:21:38.1401922] [Debug  :ainavt.lc.lethalconfig] Registered config "Scopophobia/Trigger Settings/Has Max Targets"
[10:21:38.1401922] [Debug  :ainavt.lc.lethalconfig] Registered config "Scopophobia/Trigger Settings/Max Targets"
[10:21:38.1401922] [Debug  :ainavt.lc.lethalconfig] Registered config "Scopophobia/Trigger Settings/Can Exit Facility"
[10:21:38.1411965] [Debug  :ainavt.lc.lethalconfig] Registered config "Scopophobia/Spawn Settings/ProbabilityCurve"
[10:21:38.1411965] [Debug  :ainavt.lc.lethalconfig] Registered config "Scopophobia/Spawn Settings/Shy Guy Power Level"
[10:21:38.1411965] [Debug  :ainavt.lc.lethalconfig] Registered config "Scopophobia/Painting Spawn Settings/Shy Guy Painting Spawn Rarity"
[10:21:38.1411965] [Debug  :ainavt.lc.lethalconfig] Registered config "Scopophobia/Painting Spawn Settings/Hide Painting Name before Interaction"
[10:21:38.1411965] [Debug  :ainavt.lc.lethalconfig] Registered config "Scopophobia/Painting Spawn Settings/Custom Painting Name"
[10:21:38.1421971] [Debug  :ainavt.lc.lethalconfig] Registered config "Scopophobia/Painting Spawn Settings/Spawn Chance"
[10:21:38.1772271] [Debug  :PathfindingLib] Changed prefabbed NavMeshAgent ShyGuy's area mask from 0xFFFFFFFF to 0xFFFFFFFF to allow traversal of non-smart off-mesh links.
