moon_index,moon_display,moon_name,dawn_key,interior_index,interior,flow_id,current_classification,supported_selection_classification,evidence_basis
31,745 Oxyde,Oxyde,code_rebirth:oxyde,14,Storehouse,SHFlow,NOT_YET_PROVEN,VIABLE_EQUAL_100,LLL_DAWN_BRIDGE_CUSTOM_TAG_PLUS_ACTIVE_LLL_CUSTOM_100_PLUS_ACCEPTED_NORMALIZER
31,745 Oxyde,Oxyde,code_rebirth:oxyde,15,Tower,TowerFlow,NOT_YET_PROVEN,VIABLE_EQUAL_100,LLL_DAWN_BRIDGE_CUSTOM_TAG_PLUS_ACTIVE_LLL_CUSTOM_100_PLUS_ACCEPTED_NORMALIZER
31,745 Oxyde,Oxyde,code_rebirth:oxyde,26,Circus Facility,CircusFacilityFlow,NOT_YET_PROVEN,VIABLE_EQUAL_100,LLL_DAWN_BRIDGE_CUSTOM_TAG_PLUS_ACTIVE_LLL_CUSTOM_100_PLUS_ACCEPTED_NORMALIZER
31,745 Oxyde,Oxyde,code_rebirth:oxyde,27,Atlantean Citadel,AquaticDungeonFlow,NOT_YET_PROVEN,VIABLE_EQUAL_100,LLL_DAWN_BRIDGE_CUSTOM_TAG_PLUS_ACTIVE_LLL_CUSTOM_100_PLUS_ACCEPTED_NORMALIZER
31,745 Oxyde,Oxyde,code_rebirth:oxyde,28,Deep Sewers,DeepSewersFlow,NOT_YET_PROVEN,VIABLE_EQUAL_100,LLL_DAWN_BRIDGE_CUSTOM_TAG_PLUS_ACTIVE_LLL_CUSTOM_100_PLUS_ACCEPTED_NORMALIZER
31,745 Oxyde,Oxyde,code_rebirth:oxyde,29,Fractured Complex,FracturedComplexFlow,NOT_YET_PROVEN,VIABLE_EQUAL_100,LLL_DAWN_BRIDGE_CUSTOM_TAG_PLUS_ACTIVE_LLL_CUSTOM_100_PLUS_ACCEPTED_NORMALIZER
31,745 Oxyde,Oxyde,code_rebirth:oxyde,30,Greenhouse,GreenhouseFlow,NOT_YET_PROVEN,VIABLE_EQUAL_100,LLL_DAWN_BRIDGE_CUSTOM_TAG_PLUS_ACTIVE_LLL_CUSTOM_100_PLUS_ACCEPTED_NORMALIZER
31,745 Oxyde,Oxyde,code_rebirth:oxyde,31,Art Gallery,MuseumInteriorFlow,NOT_YET_PROVEN,VIABLE_EQUAL_100,LLL_DAWN_BRIDGE_CUSTOM_TAG_PLUS_ACTIVE_LLL_CUSTOM_100_PLUS_ACCEPTED_NORMALIZER
31,745 Oxyde,Oxyde,code_rebirth:oxyde,32,Decrepit store,StoreFlow,NOT_YET_PROVEN,VIABLE_EQUAL_100,LLL_DAWN_BRIDGE_CUSTOM_TAG_PLUS_ACTIVE_LLL_CUSTOM_100_PLUS_ACCEPTED_NORMALIZER
31,745 Oxyde,Oxyde,code_rebirth:oxyde,33,Expanded facility,ExpandedFacility,NOT_YET_PROVEN,VIABLE_EQUAL_100,LLL_DAWN_BRIDGE_CUSTOM_TAG_PLUS_ACTIVE_LLL_CUSTOM_100_PLUS_ACCEPTED_NORMALIZER
31,745 Oxyde,Oxyde,code_rebirth:oxyde,34,Expanded Mineshaft,Level3ButCoolFlow,NOT_YET_PROVEN,VIABLE_EQUAL_100,LLL_DAWN_BRIDGE_CUSTOM_TAG_PLUS_ACTIVE_LLL_CUSTOM_100_PLUS_ACCEPTED_NORMALIZER
31,745 Oxyde,Oxyde,code_rebirth:oxyde,35,Grand Armory,GrandArmoryFlow,NOT_YET_PROVEN,VIABLE_EQUAL_100,LLL_DAWN_BRIDGE_CUSTOM_TAG_PLUS_ACTIVE_LLL_CUSTOM_100_PLUS_ACCEPTED_NORMALIZER
31,745 Oxyde,Oxyde,code_rebirth:oxyde,36,Spooky manor,SpookyManorFlow,NOT_YET_PROVEN,VIABLE_EQUAL_100,LLL_DAWN_BRIDGE_CUSTOM_TAG_PLUS_ACTIVE_LLL_CUSTOM_100_PLUS_ACCEPTED_NORMALIZER
31,745 Oxyde,Oxyde,code_rebirth:oxyde,40,ScoopyCastle,CastleFlow,NOT_YET_PROVEN,VIABLE_EQUAL_100,LLL_DAWN_BRIDGE_CUSTOM_TAG_PLUS_ACTIVE_LLL_CUSTOM_100_PLUS_ACCEPTED_NORMALIZER
31,745 Oxyde,Oxyde,code_rebirth:oxyde,42,Slaughterhouse,SlaughterhouseFlow,NOT_YET_PROVEN,VIABLE_EQUAL_100,LLL_DAWN_BRIDGE_CUSTOM_TAG_PLUS_ACTIVE_LLL_CUSTOM_100_PLUS_ACCEPTED_NORMALIZER
31,745 Oxyde,Oxyde,code_rebirth:oxyde,49,Storage Complex,StorageComplex,NOT_YET_PROVEN,VIABLE_EQUAL_100,LLL_DAWN_BRIDGE_CUSTOM_TAG_PLUS_ACTIVE_LLL_CUSTOM_100_PLUS_ACCEPTED_NORMALIZER
31,745 Oxyde,Oxyde,code_rebirth:oxyde,52,Rubber Rooms,RubberRoomsFlow,NOT_YET_PROVEN,VIABLE_EQUAL_100,LLL_DAWN_BRIDGE_CUSTOM_TAG_PLUS_ACTIVE_LLL_CUSTOM_100_PLUS_ACCEPTED_NORMALIZER
31,745 Oxyde,Oxyde,code_rebirth:oxyde,53,Toy Store,ToystoreFlow,NOT_YET_PROVEN,VIABLE_EQUAL_100,LLL_DAWN_BRIDGE_CUSTOM_TAG_PLUS_ACTIVE_LLL_CUSTOM_100_PLUS_ACCEPTED_NORMALIZER
