[10:30:19.9108428] [Info   : LethalMin] Adding PikminItem Compoent to PantiesItem
[10:30:19.9169235] [Info   : LethalMin] Adding PikminItem Compoent to HowToWinAnArgumentItem
[10:30:19.9169235] [Debug  : LethalMin] Calculated weight for How To Win An Argument: 3 lb, Devided weight: 1.2 lb
[10:30:19.9169235] [Debug  : LethalMin] (HowToWinAnArgumentItem) Colider: HowToWinAnArgumentItem (UnityEngine.BoxCollider)
[10:30:19.9169235] [Debug  : LethalMin] (HowToWinAnArgumentItem) Center: (0.00, 0.00, 0.00)
[10:30:19.9169235] [Debug  : LethalMin] Creating counter for HowToWinAnArgumentItem
[10:30:19.9169235] [Info   : LethalMin] Adding PikminItem Compoent to CursedClock
[10:30:19.9169235] [Debug  : LethalMin] Calculated weight for Cursed Clock: 21 lb, Devided weight: 8.4 lb
[10:30:19.9169235] [Debug  : LethalMin] (CursedClock) Colider: CursedClock (UnityEngine.BoxCollider)
[10:30:19.9169235] [Debug  : LethalMin] (CursedClock) Center: (0.00, 0.00, 0.00)
[10:30:19.9169235] [Debug  : LethalMin] Creating counter for CursedClock
[10:30:19.9169235] [Info   : LethalMin] Adding PikminItem Compoent to PictureOwl
[10:30:19.9169235] [Debug  : LethalMin] Calculated weight for Owl: 0 lb, Devided weight: 0 lb
[10:30:19.9169235] [Debug  : LethalMin] (PictureOwl) Colider: PictureOwl (UnityEngine.BoxCollider)
[10:30:19.9169235] [Debug  : LethalMin] (PictureOwl) Center: (0.00, 0.00, 0.00)
[10:30:19.9169235] [Debug  : LethalMin] Creating counter for PictureOwl
[10:30:19.9169235] [Info   : LethalMin] Adding PikminItem Compoent to PictureOscar
[10:30:19.9169235] [Debug  : LethalMin] Calculated weight for Oscar: 0 lb, Devided weight: 0 lb
[10:30:19.9169235] [Debug  : LethalMin] (PictureOscar) Colider: PictureOscar (UnityEngine.BoxCollider)
[10:30:19.9169235] [Debug  : LethalMin] (PictureOscar) Center: (0.00, 0.00, 0.00)
[10:30:19.9169235] [Debug  : LethalMin] Creating counter for PictureOscar
[10:30:19.9179242] [Info   : LethalMin] Adding PikminItem Compoent to PictureBattyOwl
[10:30:19.9179242] [Debug  : LethalMin] Calculated weight for Batty and Owl: 0 lb, Devided weight: 0 lb
[10:30:19.9179242] [Debug  : LethalMin] (PictureBattyOwl) Colider: PictureBattyOwl (UnityEngine.BoxCollider)
[10:30:19.9179242] [Debug  : LethalMin] (PictureBattyOwl) Center: (0.00, 0.00, 0.00)
[10:30:19.9179242] [Debug  : LethalMin] Creating counter for PictureBattyOwl
[10:30:19.9179242] [Info   : LethalMin] Adding PikminItem Compoent to XenCrystalApparatusDisconnected
[10:30:19.9179242] [Debug  : LethalMin] Calculated weight for Xen Crystal: 31 lb, Devided weight: 12.4 lb
[10:30:19.9179242] [Debug  : LethalMin] (XenCrystalApparatusDisconnected) Colider: XenCrystalApparatusDisconnected (UnityEngine.BoxCollider)
[10:30:19.9179242] [Debug  : LethalMin] (XenCrystalApparatusDisconnected) Center: (30.60, 1.65, -14.49)
[10:30:19.9179242] [Debug  : LethalMin] Creating counter for XenCrystalApparatusDisconnected
[10:30:19.9179242] [Info   : LethalMin] Adding PikminItem Compoent to PicturePeaches
[10:30:19.9179242] [Debug  : LethalMin] Calculated weight for Peaches: 0 lb, Devided weight: 0 lb
[10:30:19.9179242] [Debug  : LethalMin] (PicturePeaches) Colider: PicturePeaches (UnityEngine.BoxCollider)
[10:30:19.9179242] [Debug  : LethalMin] (PicturePeaches) Center: (0.00, 0.00, 0.00)
[10:30:19.9179242] [Debug  : LethalMin] Creating counter for PicturePeaches
[10:30:19.9179242] [Info   : LethalMin] Adding PikminItem Compoent to PictureLorenzo
[10:30:19.9179242] [Debug  : LethalMin] Calculated weight for Lorenzo: 0 lb, Devided weight: 0 lb
[10:30:19.9179242] [Debug  : LethalMin] (PictureLorenzo) Colider: PictureLorenzo (UnityEngine.BoxCollider)
[10:30:19.9179242] [Debug  : LethalMin] (PictureLorenzo) Center: (0.00, 0.00, 0.00)
[10:30:19.9179242] [Debug  : LethalMin] Creating counter for PictureLorenzo
[10:30:19.9189223] [Info   : LethalMin] Adding PikminItem Compoent to PictureLuluGeorge
[10:30:19.9189223] [Debug  : LethalMin] Calculated weight for Lulu and George: 0 lb, Devided weight: 0 lb
[10:30:19.9189223] [Debug  : LethalMin] (PictureLuluGeorge) Colider: PictureLuluGeorge (UnityEngine.BoxCollider)
[10:30:19.9189223] [Debug  : LethalMin] (PictureLuluGeorge) Center: (0.00, 0.00, 0.00)
[10:30:19.9189223] [Debug  : LethalMin] Creating counter for PictureLuluGeorge
[10:30:19.9189223] [Info   : LethalMin] Adding PikminItem Compoent to PictureCiri
[10:30:19.9189223] [Debug  : LethalMin] Calculated weight for Ciri: 0 lb, Devided weight: 0 lb
[10:30:19.9189223] [Debug  : LethalMin] (PictureCiri) Colider: PictureCiri (UnityEngine.BoxCollider)
[10:30:19.9189223] [Debug  : LethalMin] (PictureCiri) Center: (0.00, 0.00, 0.00)
[10:30:19.9189223] [Debug  : LethalMin] Creating counter for PictureCiri
[10:30:19.9189223] [Info   : LethalMin] Adding PikminItem Compoent to DebugStick
[10:30:19.9189223] [Debug  : LethalMin] Calculated weight for Debug Stick: 0 lb, Devided weight: 0 lb
[10:30:19.9189223] [Debug  : LethalMin] (DebugStick) Colider: DebugStick (UnityEngine.BoxCollider)
[10:30:19.9189223] [Debug  : LethalMin] (DebugStick) Center: (-0.93, 1.48, 2.67)
[10:30:19.9189223] [Debug  : LethalMin] Creating counter for DebugStick
[10:30:19.9189223] [Info   : LethalMin] Adding PikminItem Compoent to StoatGun
[10:30:19.9189223] [Debug  : LethalMin] Calculated weight for Stoat Gun: 0 lb, Devided weight: 0 lb
[10:30:19.9189223] [Debug  : LethalMin] (StoatGun) Colider: StoatGun (UnityEngine.BoxCollider)
[10:30:19.9189223] [Debug  : LethalMin] (StoatGun) Center: (14.77, 0.00, 9.49)
[10:30:19.9189223] [Debug  : LethalMin] Creating counter for StoatGun
[10:30:19.9189223] [Info   : LethalMin] Adding PikminItem Compoent to XuBuck
[10:30:19.9189223] [Debug  : LethalMin] Calculated weight for Crisp XuBuck: 0 lb, Devided weight: 0 lb
[10:30:19.9189223] [Debug  : LethalMin] (XuBuck) Colider: XuBuck (UnityEngine.BoxCollider)
[10:30:19.9189223] [Debug  : LethalMin] (XuBuck) Center: (4.50, 0.00, 5.80)
[10:30:19.9189223] [Debug  : LethalMin] Creating counter for XuBuck
[10:30:19.9189223] [Info   : LethalMin] Adding PikminItem Compoent to CeaseFire
[10:30:19.9189223] [Debug  : LethalMin] Calculated weight for Ceasefire: 84 lb, Devided weight: 33.6 lb
[10:30:19.9189223] [Debug  : LethalMin] (CeaseFire) Colider: CeaseFire (UnityEngine.BoxCollider)
[10:30:19.9189223] [Debug  : LethalMin] (CeaseFire) Center: (62.45, 72.59, 46.29)
[10:30:19.9199238] [Debug  : LethalMin] Creating counter for CeaseFire
[10:30:19.9199238] [Info   : LethalMin] Adding PikminItem Compoent to NeedleWeapon
[10:30:19.9199238] [Debug  : LethalMin] Calculated weight for Puppeteer's Needle: 8 lb, Devided weight: 3.2 lb
[10:30:19.9199238] [Debug  : LethalMin] (NeedleWeapon) Colider: NeedleWeapon (UnityEngine.CapsuleCollider)
[10:30:19.9199238] [Debug  : LethalMin] (NeedleWeapon) Center: (15.34, 0.00, 6.18)
[10:30:19.9199238] [Debug  : LethalMin] Creating counter for NeedleWeapon
[10:30:19.9199238] [Info   : LethalMin] Adding PikminItem Compoent to PuppetScrap
[10:30:19.9199238] [Debug  : LethalMin] Calculated weight for Puppeteer's Voodoo: 8 lb, Devided weight: 3.2 lb
[10:30:19.9199238] [Debug  : LethalMin] (PuppetScrap) Colider: PuppetScrap (UnityEngine.BoxCollider)
[10:30:19.9199238] [Debug  : LethalMin] (PuppetScrap) Center: (15.82, 0.00, 7.84)
[10:30:19.9209219] [Debug  : LethalMin] Creating counter for PuppetScrap
[10:30:19.9209219] [Info   : LethalMin] Adding PikminItem Compoent to LeChoppedHead
[10:30:19.9209219] [Debug  : LethalMin] Calculated weight for Talking Head: 11 lb, Devided weight: 4.4 lb
[10:30:19.9209219] [Debug  : LethalMin] (LeChoppedHead) Colider: LeChoppedHead (UnityEngine.BoxCollider)
[10:30:19.9209219] [Debug  : LethalMin] (LeChoppedHead) Center: (0.00, 0.43, 0.00)
[10:30:19.9209219] [Debug  : LethalMin] Creating counter for LeChoppedHead
[10:30:19.9209219] [Info   : LethalMin] Adding PikminItem Compoent to GiantCaller
[10:30:19.9209219] [Debug  : LethalMin] Calculated weight for Giant Caller Horn: 74 lb, Devided weight: 29.6 lb
[10:30:19.9209219] [Debug  : LethalMin] (GiantCaller) Colider: GiantCaller (UnityEngine.BoxCollider)
[10:30:19.9209219] [Debug  : LethalMin] (GiantCaller) Center: (7.91, 0.15, -20.06)
[10:30:19.9209219] [Debug  : LethalMin] Creating counter for GiantCaller
[10:30:19.9219210] [Info   : LethalMin] Adding PikminItem Compoent to SnailCatRe
[10:30:19.9219210] [Debug  : LethalMin] Calculated weight for SnailCat: 21 lb, Devided weight: 8.4 lb
[10:30:19.9219210] [Debug  : LethalMin] (SnailCatRe) Colider: SnailCatRe (UnityEngine.BoxCollider)
[10:30:19.9219210] [Debug  : LethalMin] (SnailCatRe) Center: (1.35, 0.00, -2.71)
[10:30:19.9219210] [Debug  : LethalMin] Creating counter for SnailCatRe
[10:30:19.9219210] [Warning: LethalMin] Item Fake SnailCatRe is not valid for Pikmin! Skipping...
[10:30:19.9219210] [Info   : LethalMin] Adding PikminItem Compoent to LemonPitcher
[10:30:19.9219210] [Debug  : LethalMin] Calculated weight for Lemonade Pitcher: 31 lb, Devided weight: 12.4 lb
[10:30:19.9219210] [Debug  : LethalMin] (LemonPitcher) Colider: LemonPitcher (UnityEngine.BoxCollider)
[10:30:19.9219210] [Debug  : LethalMin] (LemonPitcher) Center: (14.47, 0.41, -3.60)
[10:30:19.9224234] [Debug  : LethalMin] Creating counter for LemonPitcher
[10:30:19.9224234] [Info   : LethalMin] Adding PikminItem Compoent to Grapes
[10:30:19.9224234] [Debug  : LethalMin] Calculated weight for Grape: 31 lb, Devided weight: 12.4 lb
[10:30:19.9224234] [Debug  : LethalMin] (Grapes) Colider: Grapes (UnityEngine.BoxCollider)
[10:30:19.9224234] [Debug  : LethalMin] (Grapes) Center: (-5.20, 0.00, 57.02)
[10:30:19.9224234] [Debug  : LethalMin] Creating counter for Grapes
[10:30:19.9224234] [Warning: LethalMin] Item Diary1Folder is not valid for Pikmin! Skipping...
[10:30:19.9224234] [Warning: LethalMin] Item ByrneJournal5 is not valid for Pikmin! Skipping...
[10:30:19.9224234] [Warning: LethalMin] Item Diary5Folder is not valid for Pikmin! Skipping...
[10:30:19.9224234] [Warning: LethalMin] Item ByrneJournal4 is not valid for Pikmin! Skipping...
[10:30:19.9224234] [Info   : LethalMin] Adding PikminItem Compoent to ManorLordLoreFolder
[10:30:19.9224234] [Debug  : LethalMin] Calculated weight for ManorLordDocument: 0 lb, Devided weight: 0 lb
[10:30:19.9224234] [Debug  : LethalMin] (ManorLordLoreFolder) Colider: ManorLordLoreFolder (UnityEngine.BoxCollider)
[10:30:19.9224234] [Debug  : LethalMin] (ManorLordLoreFolder) Center: (90.52, 81.68, 154.11)
[10:30:19.9224234] [Debug  : LethalMin] Creating counter for ManorLordLoreFolder
[10:30:19.9224234] [Info   : LethalMin] Adding PikminItem Compoent to SnailCatLoreFolder
[10:30:19.9224234] [Debug  : LethalMin] Calculated weight for SnailCatDocument: 0 lb, Devided weight: 0 lb
[10:30:19.9224234] [Debug  : LethalMin] (SnailCatLoreFolder) Colider: SnailCatLoreFolder (UnityEngine.BoxCollider)
[10:30:19.9224234] [Debug  : LethalMin] (SnailCatLoreFolder) Center: (90.52, 81.68, 154.11)
[10:30:19.9224234] [Debug  : LethalMin] Creating counter for SnailCatLoreFolder
[10:30:19.9224234] [Info   : LethalMin] Adding PikminItem Compoent to PeaceKeeperLoreFolder
[10:30:19.9234281] [Debug  : LethalMin] Calculated weight for PeaceKeeperDocument: 0 lb, Devided weight: 0 lb
[10:30:19.9234281] [Debug  : LethalMin] (PeaceKeeperLoreFolder) Colider: PeaceKeeperLoreFolder (UnityEngine.BoxCollider)
[10:30:19.9234281] [Debug  : LethalMin] (PeaceKeeperLoreFolder) Center: (90.52, 81.68, 154.11)
[10:30:19.9234281] [Debug  : LethalMin] Creating counter for PeaceKeeperLoreFolder
[10:30:19.9234281] [Warning: LethalMin] Item Diary6Folder is not valid for Pikmin! Skipping...
[10:30:19.9234281] [Info   : LethalMin] Adding PikminItem Compoent to DuckLoreFolder
[10:30:19.9234281] [Debug  : LethalMin] Calculated weight for DuckDocument: 0 lb, Devided weight: 0 lb
[10:30:19.9234281] [Debug  : LethalMin] (DuckLoreFolder) Colider: DuckLoreFolder (UnityEngine.BoxCollider)
[10:30:19.9234281] [Debug  : LethalMin] (DuckLoreFolder) Center: (90.52, 81.68, 154.11)
[10:30:19.9234281] [Debug  : LethalMin] Creating counter for DuckLoreFolder
[10:30:19.9234281] [Info   : LethalMin] Adding PikminItem Compoent to GuardsmanLoreFolder
[10:30:19.9234281] [Debug  : LethalMin] Calculated weight for GuardsmanDocument: 0 lb, Devided weight: 0 lb
[10:30:19.9234281] [Debug  : LethalMin] (GuardsmanLoreFolder) Colider: GuardsmanLoreFolder (UnityEngine.BoxCollider)
[10:30:19.9234281] [Debug  : LethalMin] (GuardsmanLoreFolder) Center: (90.52, 81.68, 154.11)
[10:30:19.9234281] [Debug  : LethalMin] Creating counter for GuardsmanLoreFolder
[10:30:19.9234281] [Warning: LethalMin] Item Diary10Folder is not valid for Pikmin! Skipping...
[10:30:19.9234281] [Warning: LethalMin] Item ByrneJournal1 is not valid for Pikmin! Skipping...
[10:30:19.9234281] [Warning: LethalMin] Item Diary3Folder is not valid for Pikmin! Skipping...
[10:30:19.9234281] [Info   : LethalMin] Adding PikminItem Compoent to KittenTape
[10:30:19.9234281] [Debug  : LethalMin] Calculated weight for Comfort Tape: 0 lb, Devided weight: 0 lb
[10:30:19.9234281] [Debug  : LethalMin] (KittenTape) Colider: KittenTape (UnityEngine.BoxCollider)
[10:30:19.9234281] [Debug  : LethalMin] (KittenTape) Center: (0.00, 0.00, 0.00)
[10:30:19.9234281] [Debug  : LethalMin] Creating counter for KittenTape
[10:30:19.9234281] [Info   : LethalMin] Adding PikminItem Compoent to JanitorLoreFolder
[10:30:19.9234281] [Debug  : LethalMin] Calculated weight for JanitorDocument: 0 lb, Devided weight: 0 lb
[10:30:19.9234281] [Debug  : LethalMin] (JanitorLoreFolder) Colider: JanitorLoreFolder (UnityEngine.BoxCollider)
[10:30:19.9234281] [Debug  : LethalMin] (JanitorLoreFolder) Center: (90.52, 81.68, 154.11)
[10:30:19.9234281] [Debug  : LethalMin] Creating counter for JanitorLoreFolder
[10:30:19.9234281] [Warning: LethalMin] Item Diary8Folder is not valid for Pikmin! Skipping...
[10:30:19.9234281] [Warning: LethalMin] Item ToDoFolder is not valid for Pikmin! Skipping...
[10:30:19.9234281] [Info   : LethalMin] Adding PikminItem Compoent to MagicianLoreFolder
[10:30:19.9234281] [Debug  : LethalMin] Calculated weight for MagicianDocument: 0 lb, Devided weight: 0 lb
[10:30:19.9234281] [Debug  : LethalMin] (MagicianLoreFolder) Colider: MagicianLoreFolder (UnityEngine.BoxCollider)
[10:30:19.9234281] [Debug  : LethalMin] (MagicianLoreFolder) Center: (90.52, 81.68, 154.11)
[10:30:19.9234281] [Debug  : LethalMin] Creating counter for MagicianLoreFolder
[10:30:19.9234281] [Warning: LethalMin] Item IntroLoreFolder is not valid for Pikmin! Skipping...
[10:30:19.9234281] [Warning: LethalMin] Item ByrneJournal3 is not valid for Pikmin! Skipping...
[10:30:19.9234281] [Warning: LethalMin] Item ByrneJournal2 is not valid for Pikmin! Skipping...
[10:30:19.9234281] [Info   : LethalMin] Adding PikminItem Compoent to CutieMonarchLoreFolder
[10:30:19.9234281] [Debug  : LethalMin] Calculated weight for CutieMonarchDocument: 0 lb, Devided weight: 0 lb
[10:30:19.9234281] [Debug  : LethalMin] (CutieMonarchLoreFolder) Colider: CutieMonarchLoreFolder (UnityEngine.BoxCollider)
[10:30:19.9234281] [Debug  : LethalMin] (CutieMonarchLoreFolder) Center: (90.52, 81.68, 154.11)
[10:30:19.9234281] [Debug  : LethalMin] Creating counter for CutieMonarchLoreFolder
[10:30:19.9234281] [Info   : LethalMin] Adding PikminItem Compoent to NancyLoreFolder
[10:30:19.9234281] [Debug  : LethalMin] Calculated weight for NancyDocument: 0 lb, Devided weight: 0 lb
[10:30:19.9234281] [Debug  : LethalMin] (NancyLoreFolder) Colider: NancyLoreFolder (UnityEngine.BoxCollider)
[10:30:19.9234281] [Debug  : LethalMin] (NancyLoreFolder) Center: (90.52, 81.68, 154.11)
[10:30:19.9234281] [Debug  : LethalMin] Creating counter for NancyLoreFolder
[10:30:19.9234281] [Warning: LethalMin] Item Diary9Folder is not valid for Pikmin! Skipping...
[10:30:19.9234281] [Warning: LethalMin] Item Diary7Folder is not valid for Pikmin! Skipping...
[10:30:19.9234281] [Warning: LethalMin] Item ByrneJournal6 is not valid for Pikmin! Skipping...
[10:30:19.9234281] [Info   : LethalMin] Adding PikminItem Compoent to TrainingTape
[10:30:19.9234281] [Debug  : LethalMin] Calculated weight for Oxyde Training Tape: 0 lb, Devided weight: 0 lb
[10:30:19.9234281] [Debug  : LethalMin] (TrainingTape) Colider: TrainingTape (UnityEngine.BoxCollider)
[10:30:19.9234281] [Debug  : LethalMin] (TrainingTape) Center: (90.52, 81.68, 154.11)
[10:30:19.9234281] [Debug  : LethalMin] Creating counter for TrainingTape
[10:30:19.9249344] [Warning: LethalMin] Item Diary4Folder is not valid for Pikmin! Skipping...
[10:30:19.9249344] [Info   : LethalMin] Adding PikminItem Compoent to MistressLoreFolder
[10:30:19.9249344] [Debug  : LethalMin] Calculated weight for MistressDocument: 0 lb, Devided weight: 0 lb
[10:30:19.9249344] [Debug  : LethalMin] (MistressLoreFolder) Colider: MistressLoreFolder (UnityEngine.BoxCollider)
